condition,condition_labs,subject,trial,score,ignap,ignba,icint
40 bananas 40 apples,hi40lo40,14,11,49,0.9090909090909091,0.1111111111111111,1.0583962264150948
40 bananas 40 apples,hi40lo40,14,12,54,1,0,1.1762978723404243
40 bananas 40 apples,hi40lo40,14,13,49,0.9,0.1111111111111111,1.1088800000000014
40 bananas 40 apples,hi40lo40,14,14,48,1,0.1111111111111111,1.0638679245282996
40 bananas 40 apples,hi40lo40,14,15,42,1,0.2222222222222222,0.9675000000000001
40 bananas 40 apples,hi40lo40,14,16,45,0.6666666666666666,0.125,1.2325217391304377
40 bananas 40 apples,hi40lo40,14,17,54,1,0.1,1.3501904761904782
40 bananas 40 apples,hi40lo40,14,18,60,1,0.09090909090909091,1.4734473684210523
40 bananas 40 apples,hi40lo40,14,19,54,1,0,1.623371428571428
40 bananas 40 apples,hi40lo40,14,20,49,0.9,0,1.4565675675675684
40 bananas 40 apples,hi40lo40,15,1,62,0,0,1.768612903225806
40 bananas 40 apples,hi40lo40,15,2,58,0,0,1.5784722222222234
40 bananas 40 apples,hi40lo40,15,3,66,0,0,1.7668666666666666
40 bananas 40 apples,hi40lo40,15,4,52,0,0,1.645542857142857
40 bananas 40 apples,hi40lo40,15,5,57,0,0,1.719121212121212
40 bananas 40 apples,hi40lo40,15,6,57,0,0,1.8083548387096764
40 bananas 40 apples,hi40lo40,15,7,59,0,0,1.8329999999999993
40 bananas 40 apples,hi40lo40,15,8,33,0,0,1.5579729729729725
40 bananas 40 apples,hi40lo40,15,9,60,0,0,1.4134250000000008
40 bananas 40 apples,hi40lo40,15,10,51,0.1,0,1.39435
40 bananas 40 apples,hi40lo40,15,11,45,0,0,1.2772272727272722
40 bananas 40 apples,hi40lo40,15,12,64,0,0,1.4491025641025637
40 bananas 40 apples,hi40lo40,15,13,49,0,0,1.2457954545454557
40 bananas 40 apples,hi40lo40,15,14,48,0.14285714285714285,0,1.2867499999999992
40 bananas 40 apples,hi40lo40,15,15,58,0.2,0,1.4922894736842074
40 bananas 40 apples,hi40lo40,15,16,64,0,0.09090909090909091,1.6014411764705903
40 bananas 40 apples,hi40lo40,15,17,52,0.2,0,1.5470277777777772
40 bananas 40 apples,hi40lo40,15,18,47,0,0.125,1.3553999999999973
40 bananas 40 apples,hi40lo40,15,19,48,0.14285714285714285,0,1.4264210526315777
40 bananas 40 apples,hi40lo40,15,20,48,0,0,1.519888888888886
10 bananas 70 apples,hi10lo70,16,1,24,0,0,1.8483257142860177
10 bananas 70 apples,hi10lo70,16,2,29,0,0,1.8369796666704739
10 bananas 70 apples,hi10lo70,16,3,27,0,0,1.8060941379356743
10 bananas 70 apples,hi10lo70,16,4,17,0,0,1.7723793333318705
10 bananas 70 apples,hi10lo70,16,5,25,0,0,1.947416724139375
10 bananas 70 apples,hi10lo70,16,6,27,0,0,1.8313801666644092
10 bananas 70 apples,hi10lo70,16,7,27,0,0,1.710718484849415
10 bananas 70 apples,hi10lo70,16,8,13,0,NA,1.737014032254416
10 bananas 70 apples,hi10lo70,16,9,37,0,0,2.077273518519683
10 bananas 70 apples,hi10lo70,16,10,22,0.09090909090909091,0,2.6939761904733524
10 bananas 70 apples,hi10lo70,16,11,18,0,0,2.7778357894674532
10 bananas 70 apples,hi10lo70,16,12,20,0,0,2.2038595833388777
10 bananas 70 apples,hi10lo70,16,13,27,0,0,2.7561459523803067
10 bananas 70 apples,hi10lo70,16,14,15,0,NA,1.818873833337178
10 bananas 70 apples,hi10lo70,16,15,16,0.09090909090909091,0,2.711562857142694
10 bananas 70 apples,hi10lo70,16,16,19,0,0,2.2619514000043273
10 bananas 70 apples,hi10lo70,16,17,22,0,0,2.0559174999943934
10 bananas 70 apples,hi10lo70,16,18,21,0,0,2.3549466666632464
10 bananas 70 apples,hi10lo70,16,19,14,0,0,3.4052646666765214
10 bananas 70 apples,hi10lo70,16,20,27,0,0,2.5239178571473095
40 bananas 40 apples,hi40lo40,17,1,51,0,0,1.930207678574204
40 bananas 40 apples,hi40lo40,17,2,50,0,0,1.8221870967742777
40 bananas 40 apples,hi40lo40,17,3,39,0.1,0,1.7096396774173743
40 bananas 40 apples,hi40lo40,17,4,42,0,0,1.6087586111065724
40 bananas 40 apples,hi40lo40,17,5,63,0.5,0,1.5838268055554687
40 bananas 40 apples,hi40lo40,17,6,66,1,0,1.3572333750023973
40 bananas 40 apples,hi40lo40,17,7,66,1,0.08333333333333333,1.7132736363617533
40 bananas 40 apples,hi40lo40,17,8,57,0.625,0,1.346629069771531
40 bananas 40 apples,hi40lo40,17,9,60,1,0,1.370318250003038
40 bananas 40 apples,hi40lo40,17,10,60,1,0,1.5287432857123868
40 bananas 40 apples,hi40lo40,17,11,61,0.9166666666666666,0,1.4448582051226344
40 bananas 40 apples,hi40lo40,17,12,50,0.8333333333333334,0.1111111111111111,1.3072961250029038
40 bananas 40 apples,hi40lo40,17,13,60,1,0,1.3680313414632819
40 bananas 40 apples,hi40lo40,17,14,60,1,0,1.3078563414604925
40 bananas 40 apples,hi40lo40,17,15,69,0,0,2.0126563461515334
40 bananas 40 apples,hi40lo40,17,16,57,0.7272727272727273,0,1.3664871794828333
40 bananas 40 apples,hi40lo40,17,17,46,0,0,1.9008955357130617
40 bananas 40 apples,hi40lo40,17,18,56,0.75,0,1.552851527780553
40 bananas 40 apples,hi40lo40,17,19,60,1,0,1.4335386486522652
40 bananas 40 apples,hi40lo40,17,20,54,1,0,1.3580521951179678
40 bananas 40 apples,hi40lo40,18,1,61,0.875,0,1.4241056756770893
40 bananas 40 apples,hi40lo40,18,2,60,1,0,0.970229067796273
40 bananas 40 apples,hi40lo40,18,3,72,1,0.07692307692307693,1.1743858333332657
40 bananas 40 apples,hi40lo40,18,4,58,0.6666666666666666,0,1.098902156861846
40 bananas 40 apples,hi40lo40,18,5,68,0.7777777777777778,0,1.074156634614785
40 bananas 40 apples,hi40lo40,18,6,72,1,0,1.0012702678567231
40 bananas 40 apples,hi40lo40,18,7,62,0.7142857142857143,0,1.349453214284343
40 bananas 40 apples,hi40lo40,18,8,56,0.875,0,1.0534805769230633
40 bananas 40 apples,hi40lo40,18,9,67,0.9090909090909091,0.21428571428571427,1.0122400892869337
40 bananas 40 apples,hi40lo40,18,10,66,1,0,1.028347314814002
40 bananas 40 apples,hi40lo40,18,11,74,0.7777777777777778,0,1.1878036170197215
40 bananas 40 apples,hi40lo40,18,12,61,0.9166666666666666,0,1.0243592727273194
40 bananas 40 apples,hi40lo40,18,13,60,1,0,0.9955276315786729
40 bananas 40 apples,hi40lo40,18,14,41,0.4444444444444444,0,1.0733380769222725
40 bananas 40 apples,hi40lo40,18,15,44,0.75,0.3,1.0670699999991842
40 bananas 40 apples,hi40lo40,18,16,73,0.8,0,1.5581004166678112
40 bananas 40 apples,hi40lo40,18,17,66,1,0,1.0425935849055368
40 bananas 40 apples,hi40lo40,18,18,55,0.8888888888888888,0.1,0.987303157894578
40 bananas 40 apples,hi40lo40,18,19,67,0.8888888888888888,0,1.2144251086966782
40 bananas 40 apples,hi40lo40,18,20,66,1,0,1.2895789285733674
10 bananas 70 apples,hi10lo70,19,1,35,0.3888888888888889,0,1.1723671875030657
